0 ['nop', '+301']
223 ['nop', '+166']
224 ['acc', '+10']
225 ['acc', '+38']
226 ['jmp', '+123']
227 ['acc', '+9']
228 ['jmp', '-151']
229 ['jmp', '+231']
230 ['jmp', '+1']
231 ['acc', '+34']
232 ['jmp', '+186']
233 ['jmp', '+96']
234 ['acc', '+48']
235 ['acc', '+9']
236 ['jmp', '+198']
237 ['acc', '+7']
238 ['acc', '+35']
239 ['acc', '+22']
240 ['jmp', '+82']
241 ['nop', '+1']
242 ['nop', '-156']
243 ['nop', '-49']
244 ['jmp', '+91']
245 ['acc', '+8']
246 ['acc', '-17']
247 ['jmp', '-53']
248 ['acc', '+29']
249 ['nop', '+283']
250 ['acc', '-2']
251 ['nop', '+50']
252 ['jmp', '+290']
253 ['jmp', '+296']
254 ['jmp', '+219']
255 ['jmp', '+268']
256 ['jmp', '-119']
257 ['nop', '+353']
258 ['jmp', '-157']
259 ['acc', '+21']
260 ['acc', '+30']
261 ['jmp', '+345']
262 ['acc', '-9']
263 ['jmp', '-119']
264 ['acc', '+0']
265 ['jmp', '-196']
266 ['acc', '+33']
267 ['acc', '+0']
268 ['acc', '+1']
269 ['jmp', '-248']
270 ['acc', '+15']
271 ['jmp', '-44']
272 ['acc', '+9']
273 ['acc', '+46']
274 ['acc', '+50']
275 ['jmp', '+257']
276 ['acc', '-6']
277 ['acc', '-16']
278 ['jmp', '+320']
279 ['acc', '+35']
280 ['nop', '-4']
281 ['jmp', '-5']
282 ['acc', '+30']
283 ['acc', '+27']
284 ['jmp', '+1']
285 ['jmp', '+296']
286 ['acc', '+8']
287 ['acc', '+40']
288 ['jmp', '+210']
289 ['acc', '-14']
290 ['acc', '+34']
291 ['acc', '+42']
292 ['jmp', '+173']
293 ['acc', '+16']
294 ['acc', '+47']
295 ['acc', '+11']
296 ['acc', '+32']
297 ['jmp', '-206']
298 ['jmp', '-39']
299 ['acc', '+45']
300 ['jmp', '+247']
301 ['acc', '-17']
302 ['nop', '+261']
303 ['nop', '-254']
304 ['acc', '+48']
305 ['jmp', '+62']
306 ['acc', '+50']
307 ['acc', '+26']
308 ['acc', '+1']
309 ['jmp', '+130']
310 ['acc', '-14']
311 ['nop', '+47']
312 ['acc', '-9']
313 ['jmp', '-276']
314 ['jmp', '-104']
315 ['jmp', '+135']
316 ['acc', '+40']
317 ['jmp', '-296']
318 ['jmp', '+11']
319 ['acc', '+2']
320 ['acc', '-17']
321 ['jmp', '-238']
322 ['acc', '+34']
323 ['acc', '+37']
324 ['jmp', '-166']
325 ['nop', '-205']
326 ['acc', '-4']
327 ['acc', '+22']
328 ['jmp', '+56']
329 ['acc', '+1']
330 ['nop', '-210']
331 ['nop', '-30']
332 ['acc', '-18']
333 ['jmp', '-250']
334 ['jmp', '-107']
335 ['acc', '+45']
336 ['acc', '+50']
337 ['acc', '+3']
338 ['acc', '+3']
339 ['jmp', '-63']
340 ['acc', '+35']
341 ['jmp', '+1']
342 ['acc', '-5']
343 ['nop', '+255']
344 ['jmp', '+254']
345 ['jmp', '+210']
346 ['acc', '+10']
347 ['acc', '+7']
348 ['jmp', '+207']
349 ['acc', '+17']
350 ['acc', '+25']
351 ['nop', '-22']
352 ['jmp', '+62']
353 ['acc', '+35']
354 ['acc', '+18']
355 ['acc', '+22']
356 ['acc', '+10']
357 ['jmp', '-186']
358 ['acc', '+24']
359 ['acc', '+32']
360 ['jmp', '-31']
361 ['jmp', '-131']
362 ['jmp', '-337']
363 ['acc', '+41']
364 ['acc', '-10']
365 ['acc', '+42']
366 ['jmp', '+207']
367 ['acc', '-16']
368 ['acc', '-14']
369 ['nop', '-225']
370 ['acc', '-15']
371 ['jmp', '+70']
372 ['nop', '-303']
373 ['acc', '-10']
374 ['acc', '+11']
375 ['acc', '+17']
376 ['jmp', '+234']
377 ['acc', '-8']
378 ['acc', '+33']
379 ['jmp', '-131']
380 ['acc', '-9']
381 ['acc', '-12']
382 ['acc', '+31']
383 ['jmp', '-25']
384 ['nop', '-277']
385 ['acc', '+22']
386 ['jmp', '-273']
387 ['acc', '+19']
388 ['jmp', '-244']
389 ['acc', '-8']
390 ['nop', '+220']
391 ['acc', '+48']
392 ['jmp', '-261']
393 ['acc', '+23']
394 ['acc', '+11']
395 ['acc', '-16']
396 ['jmp', '-47']
397 ['acc', '+50']
398 ['acc', '-9']
399 ['acc', '+23']
400 ['jmp', '-38']
401 ['jmp', '+146']
402 ['nop', '-168']
403 ['jmp', '-88']
404 ['acc', '+37']
405 ['acc', '+36']
406 ['acc', '+43']
407 ['acc', '-7']
408 ['jmp', '+147']
409 ['jmp', '+1']
410 ['acc', '+42']
411 ['jmp', '-352']
412 ['acc', '+39']
413 ['jmp', '+76']
414 ['acc', '+47']
415 ['jmp', '+88']
416 ['acc', '-2']
417 ['jmp', '-102']
418 ['acc', '+20']
419 ['jmp', '+144']
420 ['acc', '+47']
421 ['acc', '+25']
422 ['jmp', '-55']
423 ['nop', '-65']
424 ['jmp', '-375']
425 ['acc', '+8']
426 ['jmp', '+161']
427 ['acc', '+46']
428 ['acc', '+5']
429 ['acc', '+16']
430 ['jmp', '+53']
431 ['acc', '+27']
432 ['acc', '+1']
433 ['jmp', '-6']
434 ['jmp', '-207']
435 ['acc', '-6']
436 ['acc', '+27']
437 ['nop', '+126']
438 ['jmp', '-197']
439 ['jmp', '-110']
440 ['jmp', '+123']
441 ['acc', '+13']
442 ['acc', '+31']
443 ['nop', '+22']
444 ['acc', '+41']
445 ['jmp', '-127']
446 ['acc', '-7']
447 ['nop', '-386']
448 ['acc', '+0']
449 ['jmp', '-65']
450 ['jmp', '-306']
451 ['acc', '+44']
452 ['acc', '+19']
453 ['acc', '+42']
454 ['acc', '+29']
455 ['jmp', '+92']
456 ['acc', '+42']
457 ['nop', '-156']
458 ['jmp', '-56']
459 ['jmp', '-346']
460 ['nop', '+95']
461 ['acc', '-6']
462 ['acc', '-19']
463 ['jmp', '-292']
464 ['jmp', '-443']
465 ['acc', '-12']
466 ['acc', '-18']
467 ['jmp', '+102']
468 ['nop', '+35']
469 ['acc', '+44']
470 ['acc', '+27']
471 ['nop', '-122']
472 ['jmp', '+97']
473 ['jmp', '-382']
474 ['jmp', '-85']
475 ['acc', '-9']
476 ['nop', '-324']
477 ['jmp', '-422']
478 ['acc', '-9']
479 ['acc', '+25']
480 ['acc', '+38']
481 ['acc', '-3']
482 ['jmp', '-298']
483 ['acc', '-2']
484 ['acc', '+26']
485 ['acc', '+14']
486 ['jmp', '-252']
487 ['acc', '+4']
488 ['jmp', '+75']
489 ['acc', '+17']
490 ['nop', '-208']
491 ['jmp', '-235']
492 ['acc', '+19']
493 ['jmp', '-322']
494 ['acc', '+14']
495 ['acc', '-3']
496 ['jmp', '+124']
497 ['jmp', '-221']
498 ['jmp', '-9']
499 ['acc', '+0']
500 ['acc', '+45']
501 ['acc', '-3']
502 ['jmp', '-376']
503 ['acc', '+20']
504 ['acc', '-3']
505 ['acc', '+17']
506 ['acc', '+19']
507 ['jmp', '-400']
508 ['acc', '-16']
509 ['acc', '+25']
510 ['jmp', '-37']
511 ['jmp', '-317']
512 ['acc', '+31']
513 ['acc', '+19']
514 ['acc', '+24']
515 ['acc', '+9']
516 ['jmp', '-181']
517 ['acc', '+35']
518 ['jmp', '-488']
519 ['acc', '-13']
520 ['acc', '+26']
521 ['acc', '-2']
522 ['jmp', '-338']
523 ['acc', '-1']
524 ['acc', '+17']
525 ['acc', '+44']
526 ['nop', '-262']
527 ['jmp', '-86']
528 ['acc', '+17']
529 ['acc', '-1']
530 ['acc', '+23']
531 ['jmp', '+79']
532 ['acc', '-5']
533 ['acc', '+18']
534 ['jmp', '+1']
535 ['acc', '+12']
536 ['jmp', '-127']
537 ['acc', '+1']
538 ['acc', '+35']
539 ['acc', '-10']
540 ['acc', '+14']
541 ['jmp', '-352']
542 ['acc', '+39']
543 ['nop', '+67']
544 ['jmp', '-290']
545 ['acc', '-13']
546 ['jmp', '+41']
547 ['jmp', '-150']
548 ['jmp', '-121']
549 ['acc', '+7']
550 ['jmp', '-331']
551 ['acc', '+42']
552 ['nop', '-389']
553 ['acc', '+4']
554 ['jmp', '-7']
555 ['acc', '-17']
556 ['acc', '-8']
557 ['acc', '-4']
558 ['jmp', '-209']
559 ['acc', '+42']
560 ['acc', '+39']
561 ['acc', '+43']
562 ['jmp', '-306']
563 ['acc', '-18']
564 ['acc', '-16']
565 ['acc', '+13']
566 ['jmp', '-414']
567 ['acc', '+3']
568 ['jmp', '-442']
569 ['nop', '+41']
570 ['acc', '-12']
571 ['jmp', '-194']
572 ['jmp', '-503']
573 ['acc', '-18']
574 ['acc', '+35']
575 ['acc', '-4']
576 ['acc', '+18']
577 ['jmp', '-393']
578 ['nop', '-348']
579 ['acc', '-7']
580 ['jmp', '-521']
581 ['acc', '+48']
582 ['acc', '-19']
583 ['acc', '-3']
584 ['acc', '+44']
585 ['jmp', '+2']
586 ['jmp', '-126']
587 ['nop', '-474']
588 ['acc', '-9']
589 ['acc', '-2']
590 ['acc', '+35']
591 ['jmp', '-587']
592 ['jmp', '-328']
593 ['acc', '-14']
594 ['nop', '-468']
595 ['acc', '+39']
596 ['jmp', '-157']
597 ['jmp', '-538']
598 ['acc', '+0']
599 ['nop', '-264']
600 ['acc', '+19']
601 ['nop', '-266']
602 ['jmp', '-91']
603 ['acc', '+20']
604 ['acc', '+14']
605 ['jmp', '-329']
606 ['acc', '-11']
607 ['acc', '+8']
608 ['jmp', '-219']
609 ['jmp', '-320']
610 ['acc', '+10']
611 ['acc', '+49']
612 ['nop', '-603']
613 ['acc', '+49']
614 ['jmp', '-344']
615 ['nop', '-356']
616 ['nop', '-93']
617 ['acc', '+27']
618 ['acc', '+24']
619 ['jmp', '-482']
620 ['nop', '-126']
621 ['nop', '-345']
622 ['acc', '+6']
623 ['acc', '+3']
624 ['jmp', '+1']
----------------
